stim_id,condition,domain,maj_decision,avg_decision,mwe_decision,n_raters,TP
241,50_50,human,1,1,1,12,True
241,80_20,human,1,1,1,12,True
241,100_0,human,1,1,1,12,True
242,50_50,human,0,0,0,12,False
242,80_20,human,0,0,1,12,False
242,100_0,human,0,0,0,12,False
243,50_50,human,0,0,0,12,False
243,80_20,human,1,1,1,12,False
243,100_0,human,1,1,1,12,False
244,50_50,human,1,1,1,12,False
244,80_20,human,1,1,1,12,False
244,100_0,human,0,0,0,12,False
245,50_50,human,1,1,1,12,True
245,80_20,human,1,1,1,12,True
245,100_0,human,1,1,1,12,True
246,50_50,human,0,0,1,12,True
246,80_20,human,0,0,1,12,True
246,100_0,human,1,1,1,12,True
247,50_50,human,1,1,1,12,False
247,80_20,human,0,0,1,12,False
247,100_0,human,1,1,1,12,False
248,50_50,human,0,0,0,12,False
248,80_20,human,0,0,0,12,False
248,100_0,human,0,0,0,12,False
249,50_50,human,1,1,1,12,True
249,80_20,human,1,1,1,12,True
249,100_0,human,1,1,1,12,True
250,50_50,human,1,1,1,12,True
250,80_20,human,1,1,1,12,True
250,100_0,human,1,1,1,12,True
251,50_50,human,1,1,1,12,True
251,80_20,human,0,0,1,12,True
251,100_0,human,1,1,1,12,True
252,50_50,human,0,0,0,12,False
252,80_20,human,0,0,0,12,False
252,100_0,human,0,0,0,12,False
253,50_50,human,0,0,1,12,False
253,80_20,human,0,0,1,12,False
253,100_0,human,0,0,0,12,False
254,50_50,human,1,1,1,12,True
254,80_20,human,1,1,1,12,True
254,100_0,human,1,1,1,12,True
255,50_50,human,0,0,1,12,True
255,80_20,human,0,0,1,12,True
255,100_0,human,0,0,0,12,True
256,50_50,human,1,1,1,12,True
256,80_20,human,1,1,1,12,True
256,100_0,human,1,1,1,12,True
257,50_50,human,1,1,1,12,False
